frame,case_label,track_id_a,track_id_b,cost_px,diagnosis,note,image
106,worst,30,20,1653.9,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0106_id30-20.jpg
105,worst,30,20,1635.2,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\worst_frame0105_id30-20.jpg
104,midrange,30,20,1598.0,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\midrange_frame0104_id30-20.jpg
728,midrange,115,101,747.1,possible_ambiguity_closer_option_existed,"a closer unused detection (id86) existed at 704px -- worth checking if Hungarian's global optimum took id86 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\midrange_frame0728_id115-101.jpg
29,midrange,9,2,635.1,possible_ambiguity_closer_option_existed,"a closer unused detection (id5) existed at 367px -- worth checking if Hungarian's global optimum took id5 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\midrange_frame0029_id9-2.jpg
686,midrange,129,88,485.8,likely_homography_or_detection_gap,"no plausible person near the projected point at all -- check this frame for a missed YOLO detection in view B, or a genuine homography/projection failure in this region of the scene",outputs/rejected_analysis\midrange_frame0686_id129-88.jpg
747,midrange,92,101,427.1,possible_ambiguity_closer_option_existed,"a closer unused detection (id86) existed at 286px -- worth checking if Hungarian's global optimum took id86 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\midrange_frame0747_id92-101.jpg
140,midrange,36,2,390.9,possible_ambiguity_closer_option_existed,"a closer unused detection (id27) existed at 302px -- worth checking if Hungarian's global optimum took id27 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\midrange_frame0140_id36-2.jpg
125,midrange,37,1,345.0,possible_ambiguity_closer_option_existed,"a closer unused detection (id15) existed at 40px -- worth checking if Hungarian's global optimum took id15 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\midrange_frame0125_id37-1.jpg
354,midrange,22,66,294.4,possible_ambiguity_closer_option_existed,"a closer unused detection (id53) existed at 16px -- worth checking if Hungarian's global optimum took id53 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\midrange_frame0354_id22-66.jpg
736,midrange,133,108,260.1,possible_ambiguity_closer_option_existed,"a closer unused detection (id101) existed at 28px -- worth checking if Hungarian's global optimum took id101 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\midrange_frame0736_id133-108.jpg
738,midrange,140,108,201.0,possible_ambiguity_closer_option_existed,"a closer unused detection (id101) existed at 80px -- worth checking if Hungarian's global optimum took id101 elsewhere this frame, or if it's a genuinely closer wrong person (occlusion/clutter)",outputs/rejected_analysis\midrange_frame0738_id140-108.jpg
